192.168.1.128, 2017-05-19 22:04:00, GET, /myapp/, HTTP/1.1, 404, 0.001120
192.168.1.128, 2017-05-19 22:04:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000761
192.168.1.128, 2017-05-19 22:04:08, GET, /myapp/default/index, HTTP/1.1, 404, 0.001882
192.168.1.128, 2017-05-19 22:04:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001287
192.168.1.128, 2017-05-19 22:04:49, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.426649
192.168.1.128, 2017-05-19 22:04:57, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 8.568482
192.168.1.128, 2017-05-19 22:05:48, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.428443
192.168.1.128, 2017-05-19 22:05:57, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 8.761215
192.168.1.128, 2017-05-19 22:06:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000857
192.168.1.128, 2017-05-19 22:06:17, GET, /admin/default/site, HTTP/1.1, 200, 1.758917
192.168.1.128, 2017-05-19 22:06:17, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.003816
192.168.1.128, 2017-05-19 22:06:17, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003627
192.168.1.128, 2017-05-19 22:06:17, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.003727
192.168.1.128, 2017-05-19 22:06:17, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.003647
192.168.1.128, 2017-05-19 22:06:17, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003875
192.168.1.128, 2017-05-19 22:06:17, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003781
192.168.1.128, 2017-05-19 22:06:17, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.007226
192.168.1.128, 2017-05-19 22:06:17, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.001456
192.168.1.128, 2017-05-19 22:06:17, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.001399
192.168.1.128, 2017-05-19 22:06:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000989
192.168.1.128, 2017-05-19 22:06:18, POST, /admin/default/check_version, HTTP/1.1, 200, 1.330382
192.168.1.128, 2017-05-19 22:06:23, GET, /examples/default/index, HTTP/1.1, 200, 0.196214
192.168.1.128, 2017-05-19 22:06:23, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.005187
192.168.1.128, 2017-05-19 22:06:23, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.002164
192.168.1.128, 2017-05-19 22:06:23, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.005693
192.168.1.128, 2017-05-19 22:06:23, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.004546
192.168.1.128, 2017-05-19 22:06:23, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.007084
192.168.1.128, 2017-05-19 22:06:23, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.004047
192.168.1.128, 2017-05-19 22:06:23, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.013156
192.168.1.128, 2017-05-19 22:06:23, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.003559
192.168.1.128, 2017-05-19 22:06:23, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.003280
192.168.1.128, 2017-05-19 22:06:23, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.003412
192.168.1.128, 2017-05-19 22:06:23, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.006806
192.168.1.128, 2017-05-19 22:06:23, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.008007
192.168.1.128, 2017-05-19 22:06:23, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.003309
192.168.1.128, 2017-05-19 22:06:26, GET, /admin/default/site, HTTP/1.1, 200, 0.580402
192.168.1.128, 2017-05-19 22:06:26, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.017768
192.168.1.128, 2017-05-19 22:06:26, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.004734
192.168.1.128, 2017-05-19 22:06:26, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.007776
192.168.1.128, 2017-05-19 22:06:26, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.018697
192.168.1.128, 2017-05-19 22:06:26, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.017356
192.168.1.128, 2017-05-19 22:06:26, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001305
192.168.1.128, 2017-05-19 22:06:26, GET, /favicon.ico, HTTP/1.1, 400, 0.003030
192.168.1.128, 2017-05-19 22:06:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.275013
192.168.1.128, 2017-05-19 22:06:28, GET, /favicon.ico, HTTP/1.1, 400, 0.003231
192.168.1.128, 2017-05-19 22:06:46, GET, /admin/default/site, HTTP/1.1, 200, 0.193705
192.168.1.128, 2017-05-19 22:06:46, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.007507
192.168.1.128, 2017-05-19 22:06:46, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001160
